Filename,original_vars,original_constraints,clausal_constraints,alk_constraints,alk_general,alk_amo,alk_vars_eliminated,alk_seconds,total_seconds,total_extracted_constraints,ple_real_time,extraction_real_time,cache_hits_verified,cache_hits_unverified,cache_misses,verification_time,testing_verification_time,sat_verification_time,bdd_verification_time,testing_successes,testing_failures,sat_successes,sat_failures,bdd_successes,bdd_failures
03cb9868146a1c420ba8e3b1b08865b8-3col300_5_2.shuffled,600,2520,2520,0,-1,-1,-1,0.002,0.004,0,0.01,0.01,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
03d1d6df36fdec5be7b60e6f0cd382f7-3col280_5_8.shuffled,560,2350,2350,0,-1,-1,-1,0.002,0.005,0,0.01,0.01,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
03d8064f3be30daecf2ffe4c54361e61-edges-025-4-7932777-1-00,101,212,212,0,-1,-1,-1,0.001,0.002,0,0.00,0.01,0,0,1,0.000,0.000,0.000,0.000,0,0,0,0,0,0
03d93f5c0378205e17260e16e463ac67-TimetableCNFEncoding_5_UNKNOWN-sc2018,302576,1667640,1667640,0,-1,-1,-1,-1773006537.740,-1773006535.010,0,1.18,1002.31,0,0,3126,945.663,942.151,0.000,0.000,0,140,0,0,0,0
03de316ba1e90305471a3b8620cb9cd7-satsgi-n23himBHm26-p0-q248,598,14076,14076,0,-1,-1,-1,0.120,0.127,0,0.01,0.15,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
03f25e67e52baf9fb1e782026d46c8a8-rope_0003.shuffled,108,252,252,0,-1,-1,-1,0.001,0.003,0,0.00,0.01,0,0,1,0.000,0.000,0.000,0.000,0,0,0,0,0,0
03fb9af7b390fe9e0739150ca3410cf0-4g_5color_166_100_02,166000,73351130,73351130,0,-1,-1,-1,-1773006633.369,-1773006577.120,0,32.19,1090.97,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
04071576275e4113b60c21601b364345-marg2x5.shuffled-as.sat03-1443,35,120,120,0,-1,-1,-1,0.000,0.001,0,0.00,0.01,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
04121f3fbe313b7046c9f54ac1e26c75-mod3block_2vars_9gates_u2_autoenc,426,62723,62723,0,-1,-1,-1,0.116,0.179,0,0.06,0.33,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
0412f6f3174dfc4c27ad0b61280cd739-SGI_30_40_30_20_2-dir.shuffled-as.sat05-442,900,65258,65258,0,-1,-1,-1,1.538,1.579,0,0.03,1.68,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
04157f716c1e9606c6a530657bf8f957-Kakuro-easy-125-ext.xml.hg_4,145714,20229302,20090230,164,164,0,62156,93.499,139.200,164,11.61,192.47,163,0,1,5.679,5.555,0.106,0.000,1,0,1,0,0,0
0415acae197134f9d1cd7bea5ac3f2fd-jgiraldezlevy.2200.9086.08.40.136,2200,9006,9006,0,-1,-1,-1,0.500,0.507,0,0.01,0.53,0,0,1,0.000,0.000,0.000,0.000,0,0,0,0,0,0
