Filename,original_vars,original_constraints,clausal_constraints,alk_constraints,alk_general,alk_amo,alk_vars_eliminated,alk_seconds,total_seconds,total_extracted_constraints,ple_real_time,extraction_real_time,cache_hits_verified,cache_hits_unverified,cache_misses,verification_time,testing_verification_time,sat_verification_time,bdd_verification_time,testing_successes,testing_failures,sat_successes,sat_failures,bdd_successes,bdd_failures
0309ea422084568c2b4df13b32094380-rbsat-v945c61409gyes1,945,61409,61409,0,-1,-1,-1,1.147,1.198,0,0.03,1.29,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
031757c0a6797eddf3e84bcefbbdb753-b2005-p2-14x14c17h9-Ser4-0,147983,14387319,14387319,0,-1,-1,-1,24.559,34.567,0,11.19,65.88,0,1789,146,0.321,0.159,0.000,0.000,0,17,0,0,0,0
031c99d72be38eedacc8b402784e9821-partial-10-17-u,298516,1111612,1111612,0,-1,-1,-1,47.521,48.222,0,0.83,50.45,0,25732,53,17.383,16.910,0.000,0.000,0,31,0,0,0,0
033560dbd1b4d3545b4b40ef90aaaa29-total-5-15-u,219756,770580,770580,0,-1,-1,-1,22.830,23.259,0,0.59,24.76,0,18483,23,2.007,1.868,0.000,0.000,0,18,0,0,0,0
0336f81b60baac5b8f481dd3c32861a5-mod4block_2vars_10gates_u2_autoenc-sc2009,479,87323,87323,0,-1,-1,-1,0.088,0.193,0,0.10,0.40,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
033743e540b7f6e2114a3e6981558795-li-test4-97.shuffled-as.sat03-375,36809,142424,142424,0,-1,-1,-1,1.261,1.565,0,0.15,1.97,0,58,6079,0.000,0.000,0.000,0.000,0,0,0,0,0,0
033d611722714d5206cc0184479e92e2-urqh2x5.shuffled-as.sat03-1473,53,432,432,0,-1,-1,-1,0.000,0.013,0,0.01,0.03,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
033f38da07bdbbad4763eaf1fe97ce37-AProVE07-27,7729,28202,28202,0,-1,-1,-1,0.536,0.550,0,0.03,0.60,0,586,17,0.232,0.230,0.000,0.000,0,2,0,0,0,0
035c200bbf0a783e4ec9656cfa9b2f68-vmpc_34.shuffled-as.sat05-1958-sc2005,1156,194072,194072,0,-1,-1,-1,0.098,0.282,0,0.10,0.63,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
036b541db9d0839b0591d408ff4f77ae-aes_decry_2_rounds.debugged,279120,1024365,1024365,0,-1,-1,-1,7.676,8.246,0,0.76,10.37,0,9386,22,3.677,3.572,0.000,0.000,0,4,0,0,0,0
0379936c75c225f1a9a113762b019da6-AProVE09-17,33894,106474,106474,0,-1,-1,-1,1.382,1.441,0,0.06,1.64,0,3451,31,0.774,0.722,0.000,0.000,0,19,0,0,0,0
037c423f56548082b1935e88c48ffdda-3col120_5_2.shuffled,240,990,990,0,-1,-1,-1,0.001,0.003,0,0.04,0.01,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
037d21e060a2e3eab8b080aa84ceee75-mm-1x10-10-10-sb.1.shuffled-as.sat03-1489,2396,83733,83733,0,-1,-1,-1,0.050,0.200,0,0.08,0.40,0,0,10,0.000,0.000,0.000,0.000,0,0,0,0,0,0
0398e6b20de133ba8b49c74b67dad7b7-6s133-sc2014,48258,140965,140965,0,-1,-1,-1,375.959,376.038,0,0.09,376.29,0,120,3193,373.618,372.733,0.000,0.000,0,509,0,0,0,0
039b45f4a3979c9176b115bb8e88342f-genurq8Sat.shuffled-as.sat03-1514,249,1118,1118,0,-1,-1,-1,0.001,0.017,0,0.02,0.04,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
03a1a18521814692f56a8ecbea0031d4-ablmulub2x32o-sc2016,5241,15431,15431,0,-1,-1,-1,0.309,0.317,0,0.01,0.34,0,3,30,0.159,0.149,0.000,0.000,0,1,0,0,0,0
03a1ada3e778fcec8a7ee0c9e685d4be-connm-ue-csp-sat-n1200-d-0.02-s1528687777.used-as.sat04-953,1156,13729,13729,0,-1,-1,-1,0.568,0.576,0,0.04,0.60,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
03a43a7ea55217f53542ed3f029963af-satch2ways16w,16883,50558,50558,0,-1,-1,-1,1.833,1.859,0,0.03,1.96,0,14,1,0.784,0.782,0.000,0.000,0,1,0,0,0,0
03b75ba4f3a1bdcc58c89e6846eecaab-x2_128.shuffled-as.sat03-1598,382,1018,1018,0,-1,-1,-1,0.001,0.002,0,0.02,0.03,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
