success,real_time,size,bound,encoding,verification,conflicts
true,510.574,550,137,seqcounter,1,1771651
true,3.247,550,137,sortnetwrk,0,0
false,0.000,550,137,sortnetwrk,1,0
true,0.620,550,137,totalizer,0,0
true,21.703,550,137,totalizer,1,113853
true,1.901,550,275,kmtotalizer,0,0
true,56.422,550,275,kmtotalizer,1,315876
true,18.736,550,275,seqcounter,0,0
false,0.000,550,275,seqcounter,1,0
true,3.091,550,275,sortnetwrk,0,0
false,0.000,550,275,sortnetwrk,1,0
true,0.689,550,275,totalizer,0,0
true,22.006,550,275,totalizer,1,125117
true,0.586,600,150,kmtotalizer,0,0
true,26.565,600,150,kmtotalizer,1,140195
true,15.059,600,150,seqcounter,0,0
true,762.038,600,150,seqcounter,1,1965384
true,2.631,600,150,sortnetwrk,0,0
false,0.000,600,150,sortnetwrk,1,0
true,0.715,600,150,totalizer,0,0
true,20.674,600,150,totalizer,1,119757
true,2.015,600,300,kmtotalizer,0,0
true,63.936,600,300,kmtotalizer,1,346325
true,22.986,600,300,seqcounter,0,0
false,0.000,600,300,seqcounter,1,0
true,2.611,600,300,sortnetwrk,0,0
false,0.000,600,300,sortnetwrk,1,0
true,0.832,600,300,totalizer,0,0
true,23.884,600,300,totalizer,1,118582
true,0.814,650,162,kmtotalizer,0,0
true,45.965,650,162,kmtotalizer,1,260374
true,18.034,650,162,seqcounter,0,0
false,0.000,650,162,seqcounter,1,0
true,3.815,650,162,sortnetwrk,0,0
false,0.000,650,162,sortnetwrk,1,0
true,0.868,650,162,totalizer,0,0
true,25.944,650,162,totalizer,1,133687
true,2.442,650,325,kmtotalizer,0,0
true,83.444,650,325,kmtotalizer,1,379901
true,27.761,650,325,seqcounter,0,0
false,0.000,650,325,seqcounter,1,0
true,2.811,650,325,sortnetwrk,0,0
false,0.000,650,325,sortnetwrk,1,0
true,0.953,650,325,totalizer,0,0
true,59.910,650,325,totalizer,1,285381
true,2.502,700,175,kmtotalizer,0,0
true,62.170,700,175,kmtotalizer,1,318780
true,21.845,700,175,seqcounter,0,0
false,0.000,700,175,seqcounter,1,0
true,4.419,700,175,sortnetwrk,0,0
false,0.000,700,175,sortnetwrk,1,0
true,0.985,700,175,totalizer,0,0
true,52.890,700,175,totalizer,1,281394
true,2.447,700,350,kmtotalizer,0,0
true,101.348,700,350,kmtotalizer,1,439615
true,33.873,700,350,seqcounter,0,0
false,0.000,700,350,seqcounter,1,0
true,2.944,700,350,sortnetwrk,0,0
false,0.000,700,350,sortnetwrk,1,0
true,1.045,700,350,totalizer,0,0
true,67.596,700,350,totalizer,1,296729
true,3.420,750,187,kmtotalizer,0,0
true,80.247,750,187,kmtotalizer,1,361705
true,25.838,750,187,seqcounter,0,0
false,0.000,750,187,seqcounter,1,0
true,4.357,750,187,sortnetwrk,0,0
false,0.000,750,187,sortnetwrk,1,0
true,1.159,750,187,totalizer,0,0
true,63.145,750,187,totalizer,1,314797
true,2.598,750,375,kmtotalizer,0,0
true,110.473,750,375,kmtotalizer,1,489862
true,39.258,750,375,seqcounter,0,0
false,0.000,750,375,seqcounter,1,0
true,3.760,750,375,sortnetwrk,0,0
false,0.000,750,375,sortnetwrk,1,0
true,1.364,750,375,totalizer,0,0
true,97.439,750,375,totalizer,1,343643
true,1.530,75,18,kmtotalizer,2,0
true,0.543,75,18,seqcounter,2,0
false,0.000,75,18,sortnetwrk,2,0
true,294.639,75,18,totalizer,2,0
true,0.810,75,37,kmtotalizer,2,0
true,1.194,75,37,seqcounter,2,0
false,0.000,75,37,sortnetwrk,2,0
false,0.000,75,37,totalizer,2,0
true,4.343,800,200,kmtotalizer,0,0
true,102.518,800,200,kmtotalizer,1,446486
true,29.403,800,200,seqcounter,0,0
false,0.000,800,200,seqcounter,1,0
true,5.224,800,200,sortnetwrk,0,0
false,0.000,800,200,sortnetwrk,1,0
true,1.282,800,200,totalizer,0,0
true,71.073,800,200,totalizer,1,301994
true,3.287,800,400,kmtotalizer,0,0
true,136.806,800,400,kmtotalizer,1,489150
true,44.363,800,400,seqcounter,0,0
false,0.000,800,400,seqcounter,1,0
true,3.755,800,400,sortnetwrk,0,0
false,0.000,800,400,sortnetwrk,1,0
true,1.603,800,400,totalizer,0,0
true,103.335,800,400,totalizer,1,345372
true,4.373,850,212,kmtotalizer,0,0
true,34.136,850,212,seqcounter,0,0
true,4.154,850,212,sortnetwrk,0,0
true,1.537,850,212,totalizer,0,0
true,3.359,850,425,kmtotalizer,0,0
true,53.726,850,425,seqcounter,0,0
true,4.137,850,425,sortnetwrk,0,0
true,1.775,850,425,totalizer,0,0
true,6.315,900,225,kmtotalizer,0,0
true,39.116,900,225,seqcounter,0,0
true,5.627,900,225,sortnetwrk,0,0
true,1.816,900,225,totalizer,0,0
true,3.695,900,450,kmtotalizer,0,0
true,61.010,900,450,seqcounter,0,0
true,4.315,900,450,sortnetwrk,0,0
true,2.322,900,450,totalizer,0,0
true,5.789,950,237,kmtotalizer,0,0
true,44.390,950,237,seqcounter,0,0
true,5.526,950,237,sortnetwrk,0,0
true,1.998,950,237,totalizer,0,0
true,3.909,950,475,kmtotalizer,0,0
true,67.706,950,475,seqcounter,0,0
true,4.389,950,475,sortnetwrk,0,0
