Filename,exit_code,real_time,solve_real_time,SAT_verified
050214ecbd9e96136fe1bc73447f1303-easier-php-035-029.sat05-1179.reshuffled-07,0,5000.04,5000.01,0,5000.04
0506d033a4ca469af10d95dbf36a86e9-em_7_4_9_cmp,10,0.01,0.01,0,0.01
0521cd68355dd16e8f7940f43003d904-crafted_n10_d6_c4_num10,20,79.05,78.99,0,79.05
0533a1506eb61460bee3917f61ca4c49-SGI_30_80_29_60_7-dir.shuffled-as.sat03-217,0,5000.02,5000.00,0,5000.02
0534387f90398a24495d4b7b05f9b342-dated-5-13-u,20,810.53,810.52,0,810.53
055836a43eb318de92f09c555ba4f3b5-3col160_5_6.shuffled,10,0.03,0.02,0,0.03
055db8f900741c7b8d7b731e99662588-rnd-v25-e13-k3,10,0.74,0.71,0,0.74
055f942145df4b6c9fd0d10a3f1da98e-atco_enc1_opt1_15_240,10,13.57,13.55,0,13.57
05680de3febd39916e496dd772cb8c19-minor032,20,0.38,0.37,0,0.38
057f143aae50b8abc3e083b7609353be-g2-T133.2.1,0,5000.45,5000.00,0,5000.45
05817b4e1add561af0e1165e01fb48cc-q_query_3_l45_lambda,20,44.78,44.77,0,44.78
0587f345cca3ef8340e8e71829dce130-VanDerWaerden_2-3-12_135,20,95.55,95.55,0,95.55
0593e6814f02ec9749e87bdc6aff8275-mrpp_6x6#14_10,10,0.76,0.75,0,0.76
05b04d362b374569a4eb63c4e4e132b7-mp1-9_3,10,12.01,12.01,0,12.01
05c52a5f9133f5afca84767f2eff98fa-g2-T103.2.1,20,1230.94,1230.36,0,1230.94
05c5ff612371a5773e857212174f625b-ezfact64_9.shuffled-as.sat03-1525,10,106.96,106.96,0,106.96
05df4430054ceba4fa065806e8c65041-SGI_30_80_23_90_10-log.shuffled-as.sat03-202,0,5000.03,5000.02,0,5000.03
05e5b5a37a0d7cb5e96c82b84bbdca66-Mycielski-11-hints-3,20,335.00,334.96,0,335.00
05eb87eb6fecb7a8a3bdc25154412c1d-VanDerWaerden_pd_2-3-24_592,10,164.22,164.21,0,164.22
05ed840c0a907e88e475c931f40fab83-bqwh.50.750.shuffled-as.sat05-434,0,5000.01,5000.00,0,5000.01
05eee75ab69270c322b9ef6bc1ee8604-slp-synthesis-aes-bottom22,0,5000.03,5000.01,0,5000.03
05f3a48298721d68cded8618b432e7c3-s85-100,20,4086.77,4086.76,0,4086.77
05f5567936f582edc0d3ea9903f540bc-sgen1-sat-230-100,0,5000.02,5000.01,0,5000.02
05fb1e489956554f9115344bce4e71c7-partial-10-11-u-sc2007,0,5000.03,5000.00,0,5000.03
05fbbab9f0baf819ed9593cca8587629-satsgi-n24himBHm28-p0-q282,10,0.01,0.01,0,0.01
060b7ed7ef9e59576b9ee62c998a5103-bvslt_13916,20,65.64,65.62,0,65.64
0614e1ae5100ee0aca4ea24424479fa3-hwb-n32-01-S1491788039.shuffled-as.sat03-1637,0,5000.02,5000.01,0,5000.02
06166a0dd78f45c213add974a6711dfe-barman-pfile10-038.sas.cr.25,20,33.98,33.91,0,33.98
0616ca6b1e0ae639d12e19ed310963a9-satcoin-genesis-SAT-4,10,2.33,2.25,0,2.33
06172049e6804cbfb07f993023f2684f-VanDerWaerden_pd_2-3-29_809,0,5000.02,5000.00,0,5000.02
062f58e44eb73f9274b57af5092cad90-rook-51-0-0,20,2732.61,2732.60,0,2732.61
06326dd7bab63b892d2c147d5928468c-smtlib-qfbv-aigs-bin_libsmbsharemodes_vc6201-tseitin,10,0.30,0.23,0,0.30
06385be5ecfc7df22b2c956093cef85f-depots3_v01a.renamed-as.sat05-3950,10,0.09,0.09,0,0.09
064ba3c61c5f105104edec8305853711-puzzle35_sat,0,5000.02,5000.01,0,5000.02
066813ab5f3b7b1cc6d2847c37f5fae7-ezfact32_10.shuffled,10,0.03,0.03,0,0.03
066d6a47dfd9648d913ba8dbce722d75-slp-synthesis-aes-bottom16,20,3049.30,3049.29,0,3049.30
06872e73223dc74c76b06f37a185dc22-VanDerWaerden_2-3-16_238,0,5000.02,5000.01,0,5000.02
068c64314f0f8405bc28bb4c52647145-sokoban-p20.sas.cr.27,20,4455.69,4455.67,0,4455.69
0697524f77ccd503f7e5fe15f23a1268-crafted_n12_d6_c4_num27,20,124.04,123.96,0,124.04
069f7d519e820f6b879f880703907bb3-SGI_30_60_28_40_2-dir.shuffled-as.sat03-124-sc2002,20,1828.76,1828.75,0,1828.76
06a36581f14e399a76a5110449ebe739-driverlog2_v01a.renamed-as.sat05-3961,10,0.02,0.02,0,0.02
06d2543c151c2478fde159c6dc0424ac-udiv45prop,20,1694.93,1694.92,0,1694.93
06d96f79264e9991a5a0a417c401657a-g2-mult1.c.50.smt2-cvc4,10,0.60,0.47,0,0.60
06e46ab0acac57a61638cbb741949a98-complete-500-0.1-1-9876543215001,10,0.09,0.08,0,0.09
06e928088bd822602edb83e41ce8dadb-satcoin-genesis-SAT-10,10,13.40,13.37,0,13.40
06e997650b24ac5b5f87c1c64f4a5dcb-edn_9789_8.cnf_0.51000000.unsat,20,3.83,3.80,0,3.83
06f538d7af257560476f9100e36d4445-gcdmax16bits_22,10,31.44,31.43,0,31.44
0701a5b57f9b37c5fcb77463c8582693-T84.2.0,20,526.58,526.33,0,526.58
070fde310eca4ddf6967896052efcb30-at-least-two-smtlib-qfbv-aigs-ext_con_032_008_0256-tseitin,20,1284.76,1284.74,0,1284.76
072785fd927ff0fd180ce8b9cc00078f-20180321_140826713_p_cnf_320_1120,10,9.23,9.23,0,9.23
